symbol,datetime,open,high,low,close,volume
AAPL,2023-07-02 22:00:00,193.78,193.88,191.76,192.46,31458198
AAPL,2023-07-04 22:00:00,191.565,192.98,190.62,191.33,46920261
AAPL,2023-07-05 22:00:00,189.84,192.02,189.2,191.81,45156009
AAPL,2023-07-06 22:00:00,191.41,192.67,190.24,190.68,46814998
AAPL,2023-07-09 22:00:00,189.26,189.99,187.035,188.61,59922163
AAPL,2023-07-10 22:00:00,189.16,189.3,186.6,188.08,46638119
AAPL,2023-07-11 22:00:00,189.68,191.7,188.47,189.77,60750248
AAPL,2023-07-12 22:00:00,190.5,191.19,189.78,190.54,41342338
AAPL,2023-07-13 22:00:00,190.23,191.1799,189.63,190.69,41616242
AAPL,2023-07-16 22:00:00,191.9,194.32,191.81,193.99,50520159
AAPL,2023-07-17 22:00:00,193.35,194.33,192.415,193.73,48353774
AAPL,2023-07-18 22:00:00,193.1,198.23,192.65,195.1,80507323
AAPL,2023-07-19 22:00:00,195.09,196.47,192.495,193.13,59581196
AAPL,2023-07-20 22:00:00,194.1,194.97,191.23,191.94,71951683
AAPL,2023-07-23 22:00:00,193.41,194.91,192.25,192.75,45505097
AAPL,2023-07-24 22:00:00,193.33,194.44,192.915,193.62,37283201
AAPL,2023-07-25 22:00:00,193.67,195.64,193.32,194.5,47471868
AAPL,2023-07-26 22:00:00,196.02,197.2,192.55,193.22,47460180
AAPL,2023-07-27 22:00:00,194.67,196.626,194.14,195.83,48291443
AAPL,2023-07-30 22:00:00,196.06,196.49,195.26,196.45,38824113
AAPL,2023-07-31 22:00:00,196.235,196.73,195.28,195.605,35281426
AAPL,2023-08-01 22:00:00,195.04,195.18,191.8507,192.58,50389327
AAPL,2023-08-02 22:00:00,191.57,192.37,190.69,191.17,62243282
AAPL,2023-08-03 22:00:00,185.52,187.38,181.92,181.99,115956841
AAPL,2023-08-06 22:00:00,182.13,183.13,177.35,178.85,97576069
AAPL,2023-08-07 22:00:00,179.69,180.27,177.58,179.8,67823003
AAPL,2023-08-08 22:00:00,180.87,180.93,177.01,178.19,60378492
AAPL,2023-08-09 22:00:00,179.48,180.75,177.6,177.97,54686851
AAPL,2023-08-10 22:00:00,177.32,178.62,176.55,177.79,52036672
AAPL,2023-08-13 22:00:00,177.97,179.69,177.305,179.46,43675627
AAPL,2023-08-14 22:00:00,178.88,179.48,177.05,177.45,43622593
AAPL,2023-08-15 22:00:00,177.13,178.54,176.5,176.57,46964857
AAPL,2023-08-16 22:00:00,177.14,177.5054,173.48,174.0,66062882
AAPL,2023-08-17 22:00:00,172.3,175.1,171.96,174.49,61172150
AAPL,2023-08-20 22:00:00,175.07,176.13,173.735,175.84,46311879
AAPL,2023-08-21 22:00:00,177.06,177.68,176.25,177.23,42084245
AAPL,2023-08-22 22:00:00,178.52,181.55,178.325,181.12,52722752
AAPL,2023-08-23 22:00:00,180.674,181.104,176.01,176.38,54945798
AAPL,2023-08-24 22:00:00,177.38,179.15,175.82,178.61,51449594
AAPL,2023-08-27 22:00:00,180.09,180.59,178.545,180.19,43820697
AAPL,2023-08-28 22:00:00,179.695,184.9,179.5,184.12,53003948
AAPL,2023-08-29 22:00:00,184.94,187.85,184.74,187.65,60813888
AAPL,2023-08-30 22:00:00,187.84,189.12,187.48,187.87,60794467
AAPL,2023-08-31 22:00:00,189.485,189.92,188.28,189.46,45766503
AAPL,2023-09-04 22:00:00,188.28,189.98,187.61,189.7,45280027
AAPL,2023-09-05 22:00:00,188.4,188.85,181.47,182.91,81755816
AAPL,2023-09-06 22:00:00,175.18,178.21,173.54,177.56,112488803
AAPL,2023-09-07 22:00:00,178.35,180.239,177.79,178.18,65602066
AAPL,2023-09-10 22:00:00,180.07,180.3,177.34,179.36,58953052
AAPL,2023-09-11 22:00:00,179.49,180.13,174.82,176.3,90370192
AAPL,2023-09-12 22:00:00,176.51,177.3,173.98,174.21,84267928
AAPL,2023-09-13 22:00:00,174.0,176.1,173.58,175.74,60895757
AAPL,2023-09-14 22:00:00,176.48,176.495,173.82,175.01,109259461
AAPL,2023-09-17 22:00:00,176.48,179.38,176.17,177.97,67257573
AAPL,2023-09-18 22:00:00,177.52,179.63,177.13,179.07,51826941
AAPL,2023-09-19 22:00:00,179.26,179.695,175.4,175.49,58436181
AAPL,2023-09-20 22:00:00,174.55,176.3,173.86,173.93,63149116
AAPL,2023-09-21 22:00:00,174.67,177.079,174.05,174.79,56725385
AAPL,2023-09-24 22:00:00,174.2,176.97,174.15,176.08,46172740
AAPL,2023-09-25 22:00:00,174.82,175.2,171.66,171.96,64588945
AAPL,2023-09-26 22:00:00,172.62,173.04,169.05,170.43,66921808
AAPL,2023-09-27 22:00:00,169.34,172.03,167.62,170.69,56294419
AAPL,2023-09-28 22:00:00,172.02,173.07,170.341,171.21,51861083
AAPL,2023-10-01 22:00:00,171.22,174.3,170.93,173.75,52164535
AAPL,2023-10-02 22:00:00,172.255,173.63,170.82,172.4,49594613
AAPL,2023-10-03 22:00:00,171.09,174.21,170.97,173.66,53020286
AAPL,2023-10-04 22:00:00,173.79,175.45,172.68,174.91,48527918
AAPL,2023-10-05 22:00:00,173.8,177.99,173.18,177.49,57266675
AAPL,2023-10-08 22:00:00,176.81,179.05,175.8,178.99,42390772
AAPL,2023-10-09 22:00:00,178.1,179.72,177.95,178.39,43698019
AAPL,2023-10-10 22:00:00,178.2,179.85,177.6,179.8,47551098
AAPL,2023-10-11 22:00:00,180.07,182.34,179.04,180.71,56743119
AAPL,2023-10-12 22:00:00,181.42,181.93,178.14,178.85,51456082
AAPL,2023-10-15 22:00:00,176.75,179.075,176.51,178.72,52516984
AAPL,2023-10-16 22:00:00,176.645,178.42,174.8,177.15,57549350
AAPL,2023-10-17 22:00:00,175.58,177.575,175.11,175.84,54764375
AAPL,2023-10-18 22:00:00,176.04,177.84,175.19,175.46,59302863
AAPL,2023-10-19 22:00:00,175.31,175.42,172.64,172.88,64244028
AAPL,2023-10-22 22:00:00,170.91,174.01,169.93,173.0,55980109
AAPL,2023-10-23 22:00:00,173.05,173.67,171.45,173.44,43816644
AAPL,2023-10-24 22:00:00,171.88,173.06,170.65,171.1,57156962
AAPL,2023-10-25 22:00:00,170.37,171.3775,165.67,166.89,70625258
AAPL,2023-10-26 22:00:00,166.91,168.96,166.83,168.22,58499129
AAPL,2023-10-29 22:00:00,169.02,171.17,168.87,170.29,51130955
AAPL,2023-10-30 22:00:00,169.35,170.9,167.9,170.77,44846017
AAPL,2023-10-31 22:00:00,171.0,174.23,170.12,173.97,56934906
AAPL,2023-11-01 22:00:00,175.52,177.78,175.46,177.57,77334752
AAPL,2023-11-02 22:00:00,174.24,176.82,173.35,176.65,79829246
AAPL,2023-11-05 22:00:00,176.38,179.43,176.21,179.23,63841310
AAPL,2023-11-06 22:00:00,179.18,182.44,178.97,181.82,70529966
AAPL,2023-11-07 22:00:00,182.35,183.45,181.59,182.89,49340282
AAPL,2023-11-08 22:00:00,182.96,184.12,181.81,182.41,53763540
AAPL,2023-11-09 22:00:00,183.97,186.565,183.53,186.4,66177922
AAPL,2023-11-12 22:00:00,185.82,186.03,184.21,184.8,43627519
AAPL,2023-11-13 22:00:00,187.7,188.11,186.3,187.44,60108378
AAPL,2023-11-14 22:00:00,187.845,189.5,187.78,188.01,53790499
AAPL,2023-11-15 22:00:00,189.57,190.96,188.65,189.71,54412915
AAPL,2023-11-16 22:00:00,190.25,190.38,188.57,189.69,50941404
AAPL,2023-11-19 22:00:00,189.89,191.905,189.88,191.45,46538614
AAPL,2023-11-20 22:00:00,191.41,191.52,189.74,190.64,38134485
AAPL,2023-11-21 22:00:00,191.49,192.93,190.825,191.31,39630011
AAPL,2023-11-23 22:00:00,190.87,190.9,189.25,189.97,24048344
AAPL,2023-11-26 22:00:00,189.92,190.67,188.9,189.79,40552609
AAPL,2023-11-27 22:00:00,189.78,191.08,189.4,190.4,38415419
AAPL,2023-11-28 22:00:00,190.9,192.09,188.97,189.37,43014224
AAPL,2023-11-29 22:00:00,189.84,190.32,188.19,189.95,48794366
AAPL,2023-11-30 22:00:00,190.33,191.56,189.23,191.24,45704823
AAPL,2023-12-03 22:00:00,189.98,190.05,187.4511,189.43,43389519
AAPL,2023-12-04 22:00:00,190.21,194.4,190.18,193.42,66628398
